PlotID,PINumber,Row,Column,Block,Treatment,DaysToFlower,MedianLeafAngle,LeafAngleSDV,PoorStand?,PaniclesPerPlot,PanicleGrainWeight,EstimatedPlotYield,FlagLeafLength,FlagLeafWidth,ExtantLeafNumber,PlantHeight,ThirdLeafLength,ThirdLeafWidth,TillersPerPlant,StemDiameterLower,StemDiameterUpper,RachisLength,RachisDiameterLower,RachisDiameterUpper,PrimaryBrancSufficientNitrogeno,BranchInternodeLength,ProteinPCT,OilPCT,FiberPCT,AshPCT,StarchPCT,KernelColor
5067,PI 534144,16,26,5,SufficientNitrogen,64.0,59.1,4.1,N,30.0,31.8,954.0,26.0,5.0,11.0,150.0,47.5,6.2,0.0,17.43,12.19,8.17,6.63,3.26,50.0,0.73,11.3,11.27,4.3,1.56,69.37,Brown
5068,PI 564163,17,26,5,SufficientNitrogen,57.0,37.2,4.45,N,14.0,55.4,775.6,36.5,4.5,11.0,90.0,69.5,6.5,0.0,21.43,10.57,26.63,5.79,3.12,58.33,1.77,10.28,12.86,4.31,1.71,70.67,White
5069,PI 576352,18,26,5,SufficientNitrogen,63.0,72.3,4.36,N,11.0,28.7,315.7,17.5,5.4,10.0,75.0,55.0,6.0,0.33,24.46,10.97,22.9,7.17,4.08,49.33,1.5,10.09,13.81,4.29,1.67,71.73,Mustard
5070,PI 655975,19,26,5,SufficientNitrogen,63.0,52.6,1.8,Y,13.0,77.8,1011.4,28.5,3.3,14.0,79.0,71.0,7.0,2.0,30.38,12.82,18.0,6.12,3.05,43.67,1.97,9.59,12.28,5.06,1.51,72.63,Mustard
5071,PI 533924,20,26,5,SufficientNitrogen,69.0,56.6,6.61,N,11.0,19.4,213.4,38.6,5.2,12.0,69.0,60.0,7.5,0.67,27.83,11.17,16.4,7.18,3.49,32.33,2.53,11.94,15.75,4.4,1.87,66.58,Brown
5074,PI 659695,23,26,5,SufficientNitrogen,57.0,40.5,5.09,N,17.0,43.3,736.1,39.3,4.7,12.0,80.0,77.0,7.5,0.0,22.8,9.23,34.63,6.28,2.06,67.0,1.93,10.34,13.18,4.21,1.65,71.84,White
5077,PI 656055,26,26,5,SufficientNitrogen,62.0,40.8,5.65,N,18.0,45.6,820.8,45.8,6.4,13.0,90.0,67.0,6.5,0.0,24.8,11.26,24.6,6.72,3.37,80.0,3.97,10.0,12.6,4.82,1.49,73.34,White
5078,PI 656121,27,26,5,SufficientNitrogen,59.0,61.3,4.05,N,18.0,35.1,631.8,29.7,3.2,10.0,85.0,48.5,4.5,1.0,19.65,9.16,23.9,6.95,3.55,60.33,2.1,10.18,9.71,4.96,1.14,73.28,Orange
5079,PI 656000,15,25,5,SufficientNitrogen,57.0,32.8,6.76,N,17.0,39.5,671.5,32.6,6.1,11.0,83.0,72.5,7.0,1.0,27.75,9.95,31.1,8.3,0.75,92.33,2.03,10.1,12.86,4.5,1.66,71.82,White
5080,PI 533915,16,25,5,SufficientNitrogen,62.0,69.9,7.86,N,28.0,18.6,520.8,24.3,5.0,11.0,152.0,44.0,7.0,1.0,20.4,10.64,23.37,8.41,1.35,37.0,2.6,10.21,15.31,4.4,1.73,71.19,White
